Time resolution is 1 ps
Configuration completed                      0 ns
1. Accuracy: 100.000000, Detected number: 7, Expected: 07
2. Accuracy: 50.000000, Detected number: 0, Expected: 02
3. Accuracy: 66.666667, Detected number: 1, Expected: 01
4. Accuracy: 75.000000, Detected number: 0, Expected: 00
5. Accuracy: 80.000000, Detected number: 4, Expected: 04
6. Accuracy: 83.333333, Detected number: 1, Expected: 01
7. Accuracy: 85.714286, Detected number: 4, Expected: 04
8. Accuracy: 75.000000, Detected number: 0, Expected: 09
9. Accuracy: 77.777778, Detected number: 5, Expected: 05
10. Accuracy: 80.000000, Detected number: 9, Expected: 09
11. Accuracy: 81.818182, Detected number: 0, Expected: 00
12. Accuracy: 83.333333, Detected number: 6, Expected: 06
13. Accuracy: 84.615385, Detected number: 9, Expected: 09
14. Accuracy: 85.714286, Detected number: 0, Expected: 00
15. Accuracy: 86.666667, Detected number: 1, Expected: 01
16. Accuracy: 87.500000, Detected number: 5, Expected: 05
17. Accuracy: 88.235294, Detected number: 9, Expected: 09
18. Accuracy: 88.888889, Detected number: 7, Expected: 07
19. Accuracy: 84.210526, Detected number: 0, Expected: 03
20. Accuracy: 85.000000, Detected number: 4, Expected: 04
21. Accuracy: 85.714286, Detected number: 9, Expected: 09
22. Accuracy: 86.363636, Detected number: 6, Expected: 06
23. Accuracy: 86.956522, Detected number: 6, Expected: 06
24. Accuracy: 87.500000, Detected number: 5, Expected: 05
25. Accuracy: 88.000000, Detected number: 4, Expected: 04
26. Accuracy: 88.461538, Detected number: 0, Expected: 00
27. Accuracy: 88.888889, Detected number: 7, Expected: 07
28. Accuracy: 89.285714, Detected number: 4, Expected: 04
29. Accuracy: 89.655172, Detected number: 0, Expected: 00
30. Accuracy: 90.000000, Detected number: 1, Expected: 01
31. Accuracy: 90.322581, Detected number: 3, Expected: 03
32. Accuracy: 90.625000, Detected number: 1, Expected: 01
33. Accuracy: 90.909091, Detected number: 3, Expected: 03
34. Accuracy: 91.176471, Detected number: 4, Expected: 04
35. Accuracy: 91.428571, Detected number: 7, Expected: 07
36. Accuracy: 91.666667, Detected number: 2, Expected: 02
37. Accuracy: 91.891892, Detected number: 7, Expected: 07
38. Accuracy: 92.105263, Detected number: 1, Expected: 01
39. Accuracy: 89.743590, Detected number: 0, Expected: 02
40. Accuracy: 90.000000, Detected number: 1, Expected: 01
41. Accuracy: 90.243902, Detected number: 1, Expected: 01
42. Accuracy: 90.476190, Detected number: 7, Expected: 07
43. Accuracy: 90.697674, Detected number: 4, Expected: 04
44. Accuracy: 88.636364, Detected number: 1, Expected: 02
45. Accuracy: 88.888889, Detected number: 3, Expected: 03
46. Accuracy: 89.130435, Detected number: 5, Expected: 05
47. Accuracy: 89.361702, Detected number: 1, Expected: 01
48. Accuracy: 89.583333, Detected number: 2, Expected: 02
49. Accuracy: 89.795918, Detected number: 4, Expected: 04
50. Accuracy: 90.000000, Detected number: 4, Expected: 04
51. Accuracy: 90.196078, Detected number: 6, Expected: 06
52. Accuracy: 90.384615, Detected number: 3, Expected: 03
53. Accuracy: 90.566038, Detected number: 5, Expected: 05
54. Accuracy: 90.740741, Detected number: 5, Expected: 05
55. Accuracy: 90.909091, Detected number: 6, Expected: 06
56. Accuracy: 91.071429, Detected number: 0, Expected: 00
57. Accuracy: 91.228070, Detected number: 4, Expected: 04
58. Accuracy: 91.379310, Detected number: 1, Expected: 01
59. Accuracy: 91.525424, Detected number: 9, Expected: 09
60. Accuracy: 90.000000, Detected number: 0, Expected: 05
61. Accuracy: 90.163934, Detected number: 7, Expected: 07
62. Accuracy: 90.322581, Detected number: 8, Expected: 08
63. Accuracy: 90.476190, Detected number: 9, Expected: 09
64. Accuracy: 90.625000, Detected number: 3, Expected: 03
65. Accuracy: 90.769231, Detected number: 7, Expected: 07
66. Accuracy: 90.909091, Detected number: 4, Expected: 04
67. Accuracy: 91.044776, Detected number: 6, Expected: 06
68. Accuracy: 91.176471, Detected number: 4, Expected: 04
69. Accuracy: 91.304348, Detected number: 3, Expected: 03
70. Accuracy: 91.428571, Det
